,id,left_team_name,date,right_team_name,draw_odds,winner,game,left_odds,right_odds
151,opPm17BJ8hcs2vHA1NvM,Ashley Lane,Jul 20,Andrew Cain,,,boxing,9.21,1.03
152,opekiDs7tZ6i2rLyJOzb,Spirit,Jul 10,OG,2.26,,dota2,1.9,8.83
153,owqb8AbhiBUr75cTCQFF,BB Team,Jul 10,beastcoast,2.35,BB Team,dota2,1.78,10.28
154,qyNdpuIcTHEg5BydIwm9,OLD STINKY CAT,Jul 10,ZOL,,OLD STINKY CAT,valorant,2.77,1.38
155,rbxw5UhsvBYELLbaatTs,Liquid Echo,Jul 10,Falcon,,,mlbb,1.1,5.34
156,sWY2VadBnpjo91N3yFNN,RED Academy,Jul 9,Tropa Raizen,,RED Academy,lol,1.8,1.87
157,uDTWuCcQAWdERjwsaUuI,Mighty Tiger,Jul 12,Stand Point,,Stand Point,codm,3.46,1.25
158,uoI3oMUfTHde4vdTZ5Vn,Qing Jiu,Jul 13,XROCK,,Qing Jiu,codm,2.33,1.52
159,uvJSXwQNSO4ItXu1DUat,UU Gamers,Jul 14,The Young,,,hok,1.64,2.1
160,wHuxRFXagZ7SLaEZwlGv,Nova,Jul 10,ThunderTalk,,,wildrift,1.42,2.57
161,xWJgqiooGXwhWTEMT1gP,Arena Internet Cafe,Jul 10,FOCUSGG,,Arena Internet Cafe,valorant,1.59,2.19
162,xk8VcCEkG0SabWUaQHtC,Kingzone,Jul 11,Stand Point,,Stand Point,codm,2.06,1.67
163,xlTUT2lmUcDhciQTK58F,Mike Perry,Jul 21,Jake Paul,,,boxing,2.98,1.34
164,xtMmh6EYS6zYicM86SFW,GRP,Jul 9,Matty USA LODIS,,GRP,lol,1.5,2.35
165,yTRNzvhOWY6yT6Ti9aCl,ELEVATE,Jul 10,Reve Drift Arena,,ELEVATE,valorant,1.42,2.61
166,ytuAUA4XRZC4rdYNipxF,FULL SENSE,Jul 10,XERXIA,,XERXIA,valorant,1.08,6.12
167,z8KcIdpjdnYpqZ3NGcbV,New York Subliners,Jul 18,Seattle Surge,,,cod,1.29,2.98
